tag,patterns,response,patterns_cleaned,patterns_french,patterns_spanish,patterns_dutch
Happy,I’m embracing all the good things in life!  ,"My Diary,Arcade",I’m embracing all the good things in life  ,J'apprécie toutes les bonnes choses de la vie,Estoy abrazando todas las cosas buenas de la vida.,Ik omarm alle goede dingen in het leven
Happy,The world feels brighter and more beautiful today.  ,"My Diary,Arcade",The world feels brighter and more beautiful today  ,Le monde semble plus lumineux et plus beau aujourd'hui,El mundo se siente más brillante y más hermoso hoy.,De wereld voelt vandaag helderder en mooier aan
Happy,I’m absolutely loving life right now!  ,"My Diary,Arcade",I’m absolutely loving life right now  ,J'adore vraiment la vie en ce moment,Estoy disfrutando muchísimo la vida ahora mismo,Ik geniet momenteel enorm van het leven
Happy,This is a day I’ll never forget—it’s so wonderful!  ,"My Diary,Arcade",This is a day I will never forget—it’s so wonderful  ,"C'est un jour que je n'oublierai jamais, c'est tellement merveilleux",Este es un día que nunca olvidaré. Es tan maravilloso.,"Dit is een dag die ik nooit zal vergeten, het is zo geweldig"
Happy,I feel alive and unstoppable!  ,"My Diary,Arcade",I feel alive and unstoppable  ,Je me sens vivant et inarrêtable,Me siento viva e imparable.,Ik voel me levend en onstuitbaar
Happy,Everything feels so right at this moment.  ,"My Diary,Arcade",Everything feels so right at this moment  ,Tout semble si bien en ce moment,Todo se siente tan bien en este momento.,Alles voelt op dit moment zo goed
Happy,I’m shining like the sun with happiness!  ,"My Diary,Arcade",I’m shining like the sun with happiness  ,Je brille comme le soleil de bonheur,Estoy brillando como el sol con felicidad.,Ik straal als de zon van geluk
Happy,My heart feels so light and free!  ,"My Diary,Arcade",My heart feels so light and free  ,Mon cœur se sent si léger et libre,Mi corazón se siente tan ligero y libre.,Mijn hart voelt zo licht en vrij
Happy,I’m savoring every second of this day.  ,"My Diary,Arcade",I’m savoring every second of this day  ,Je savoure chaque seconde de cette journée,Estoy saboreando cada segundo de este día.,Ik geniet van elke seconde van deze dag
Happy,This happiness is so contagious,"My Diary,Arcade",This happiness is so contagious,Ce bonheur est tellement contagieux,Esta felicidad es tan contagiosa.,Dit geluk is zo besmettelijk
Happy,I’m in awe of how perfect this moment feels.  ,"My Diary,Arcade",I’m in awe of how perfect this moment feels  ,Je suis impressionné par la perfection de ce moment,Estoy asombrado de lo perfecto que se siente este momento.,Ik ben onder de indruk van hoe perfect dit moment voelt
Happy,Today feels like the start of something incredible.  ,"My Diary,Arcade",Today feels like the start of something incredible  ,"Aujourd'hui, cela ressemble au début de quelque chose d'incroyable",Hoy se siente como el comienzo de algo increíble.,Vandaag voelt als het begin van iets ongelooflijks
Happy,I’m soaking up all the positivity around me.  ,"My Diary,Arcade",I’m soaking up all the positivity around me  ,J'absorbe toute la positivité qui m'entoure,Estoy absorbiendo toda la positividad que me rodea.,Ik neem alle positiviteit om mij heen in mij op
Happy,This day is a beautiful chapter in my life! ,"My Diary,Arcade",This day is a beautiful chapter in my life ,Ce jour est un beau chapitre de ma vie,Este día es un hermoso capítulo en mi vida.,Deze dag is een mooi hoofdstuk in mijn leven
Happy,I've got so much energy!,"My Diary,Arcade",I've got so much energy,J'ai tellement d'énergie,Tengo tanta energía,Ik heb zoveel energie
Happy,I'm in such a great mood!,"My Diary,Arcade",I am in such a great mood,Je suis de très bonne humeur,Estoy de muy buen humor,Ik ben in zo'n goed humeur
Happy,I'm so grateful for today.,"My Diary,Arcade",I am so grateful for today,Je suis tellement reconnaissant pour aujourd'hui,Estoy muy agradecido por hoy,Ik ben zo dankbaar voor vandaag
Happy,I'm enjoying every moment!,"My Diary,Arcade",I am enjoying every moment,Je profite de chaque instant,Estoy disfrutando cada momento,Ik geniet van elk moment
Happy,I can't contain my joy!,"My Diary,Arcade",I can't contain my joy,Je ne peux pas contenir ma joie,No puedo contener mi alegría,Ik kan mijn vreugde niet bedwingen
Happy,I'm full of positive energy!,"My Diary,Arcade",I am full of positive energy,Je suis plein d'énergie positive,Estoy lleno de energía positiva,Ik zit vol positieve energie
Happy,I'm so happy and content with life!,"My Diary,Arcade",I am so happy and content with life,Je suis tellement heureuse et satisfaite de la vie,Estoy tan feliz y contento con la vida.,Ik ben zo blij en tevreden met het leven
Happy,I've never been this happy before!,"My Diary,Arcade",I've never been this happy before,Je n'ai jamais été aussi heureux auparavant,Nunca he estado tan feliz antes,Ik ben nog nooit zo gelukkig geweest
Happy,My heart is full of happiness.,"My Diary,Arcade",My heart is full of happiness,Mon cœur est plein de bonheur,Mi corazón está lleno de felicidad.,Mijn hart is vol geluk
Happy,It's such a warm feeling to be cared for.,"My Diary,Arcade",It's such a warm feeling to be cared for,C'est un sentiment si chaleureux d'être pris en charge,Es una sensación muy cálida sentirse cuidado.,Het is zo'n warm gevoel om verzorgd te worden
Happy,I feel like the luckiest person alive.,"My Diary,Arcade",I feel like the luckiest person alive,Je me sens comme la personne la plus chanceuse du monde,Me siento la persona más afortunada del mundo,Ik voel me de gelukkigste persoon ter wereld
Happy,I feel cherished by my friends.,"My Diary,Arcade",I feel cherished by my friends,Je me sens chéri par mes amis,Me siento querido por mis amigos.,Ik voel me geliefd door mijn vrienden
Happy,I feel like everyone cares about me.,"My Diary,Arcade",I feel like everyone cares about me,J'ai l'impression que tout le monde se soucie de moi,Siento que todos se preocupan por mí.,Ik heb het gevoel dat iedereen om mij geeft
Happy,I'm blessed to have such supportive people around me.,"My Diary,Arcade",I am blessed to have such supportive people around me,Je suis bénie d'avoir des gens qui me soutiennent autant autour de moi,Tengo la suerte de tener gente tan solidaria a mi alrededor.,Ik ben gezegend dat ik zulke behulpzame mensen om mij heen heb
Happy,I feel so connected with those around me.,"My Diary,Arcade",I feel so connected with those around me,Je me sens tellement connecté avec ceux qui m'entourent,Me siento tan conectado con los que me rodean.,Ik voel me zo verbonden met de mensen om mij heen
Happy,I feel like I belong.,"My Diary,Arcade",I feel like I belong,Je me sens appartenir,Me siento como si perteneciera,Ik voel me alsof ik erbij hoor
Happy,I'm surrounded by kindness today.,"My Diary,Arcade",I am surrounded by kindness today,Je suis entouré de gentillesse aujourd'hui,Estoy rodeado de bondad hoy,Ik word vandaag omringd door vriendelijkheid
Happy,I feel so appreciated by those around me.,"My Diary,Arcade",I feel so appreciated by those around me,Je me sens tellement apprécié par ceux qui m'entourent,Me siento muy apreciado por quienes me rodean.,Ik voel me zo gewaardeerd door de mensen om mij heen
Happy,I'm surrounded by people who care about me.,"My Diary,Arcade",I am surrounded by people who care about me,Je suis entouré de gens qui se soucient de moi,Estoy rodeado de gente que se preocupa por mí.,Ik word omringd door mensen die om mij geven
Happy,I'm so lucky to have such amazing people in my life.,"My Diary,Arcade",I am so lucky to have such amazing people in my life,J'ai tellement de chance d'avoir des gens aussi incroyables dans ma vie,Tengo mucha suerte de tener gente tan maravillosa en mi vida.,Ik ben zo gelukkig dat ik zulke geweldige mensen in mijn leven heb
Happy,I feel supported by everyone around me.,"My Diary,Arcade",I feel supported by everyone around me,Je me sens soutenu par tout le monde autour de moi,Me siento apoyado por todos los que me rodean.,Ik voel me gesteund door iedereen om mij heen
Happy,I feel deeply appreciated today.,"My Diary,Arcade",I feel deeply appreciated today,Je me sens profondément apprécié aujourd'hui,Me siento profundamente apreciado hoy,Ik voel mij vandaag enorm gewaardeerd
Happy,I feel safe and cared for.,"My Diary,Arcade",I feel safe and cared for,Je me sens en sécurité et pris en charge,Me siento seguro y cuidado.,Ik voel mij veilig en verzorgd
Happy,I feel truly special to be cared for.,"My Diary,Arcade",I feel truly special to be cared for,Je me sens vraiment spéciale d'être prise en charge,Me siento realmente especial por ser atendida,Ik voel mij echt bijzonder dat er voor mij gezorgd wordt
Happy,I feel deeply connected to the people around me.,"My Diary,Arcade",I feel deeply connected to the people around me,Je me sens profondément connecté aux gens qui m'entourent,Me siento profundamente conectado con las personas que me rodean.,Ik voel mij diep verbonden met de mensen om mij heen
Happy,I feel like I'm part of something bigger.,"My Diary,Arcade",I feel like I am part of something bigger,J'ai l'impression de faire partie de quelque chose de plus grand,Me siento como si fuera parte de algo más grande,Ik heb het gevoel dat ik deel uitmaak van iets groters
Happy,I'm so grateful for the support and care I receive.,"My Diary,Arcade",I am so grateful for the support and care I receive,Je suis très reconnaissant pour le soutien et les soins que je reçois,Estoy muy agradecida por el apoyo y la atención que recibo.,Ik ben zo dankbaar voor de steun en zorg die ik krijg
Happy,I feel a sense of belonging in my community.,"My Diary,Arcade",I feel a sense of belonging in my community,Je ressens un sentiment d’appartenance à ma communauté,Siento un sentido de pertenencia en mi comunidad.,Ik voel mij thuis in mijn gemeenschap
Happy,I feel so cared for by the people around me.,"My Diary,Arcade",I feel so cared for by the people around me,Je me sens tellement pris en charge par les gens qui m'entourent,Me siento muy cuidado por la gente que me rodea.,Ik voel me zo verzorgd door de mensen om mij heen
Happy,I'm lucky to have people who genuinely care about me.,"My Diary,Arcade",I am lucky to have people who genuinely care about me,J'ai la chance d'avoir des gens qui se soucient vraiment de moi,Tengo suerte de tener gente que realmente se preocupa por mí.,Ik heb geluk dat ik mensen heb die echt om mij geven
Happy,I feel blessed to have people who genuinely care for me.,"My Diary,Arcade",I feel blessed to have people who genuinely care for me,Je me sens béni d'avoir des gens qui se soucient vraiment de moi,Me siento bendecida de tener personas que realmente se preocupan por mí.,Ik voel me gezegend dat ik mensen heb die echt om mij geven
Happy,I feel grateful for the kindness of others.,"My Diary,Arcade",I feel grateful for the kindness of others,Je suis reconnaissant pour la gentillesse des autres,Me siento agradecido por la bondad de los demás.,Ik ben dankbaar voor de vriendelijkheid van anderen
Happy,I feel safe and supported by the people in my life.,"My Diary,Arcade",I feel safe and supported by the people in my life,Je me sens en sécurité et soutenu par les gens de ma vie,Me siento seguro y apoyado por las personas en mi vida.,Ik voel me veilig en gesteund door de mensen in mijn leven
Happy,I feel like I matter to the people around me.,"My Diary,Arcade",I feel like I matter to the people around me,J'ai l'impression d'être important pour les gens qui m'entourent,Siento que soy importante para las personas que me rodean.,Ik heb het gevoel dat ik ertoe doe voor de mensen om mij heen
Happy,I feel valued and appreciated by the people I care about.,"My Diary,Arcade",I feel valued and appreciated by the people I care about,Je me sens valorisé et apprécié par les personnes qui me sont chères.,Me siento valorado y apreciado por las personas que me importan.,Ik voel mij gewaardeerd en gewaardeerd door de mensen om wie ik geef
Happy,I feel like I'm in a loving and supportive environment.,"My Diary,Arcade",I feel like I am in a loving and supportive environment,Je me sens dans un environnement aimant et solidaire,Me siento como si estuviera en un ambiente amoroso y de apoyo.,Ik heb het gevoel dat ik in een liefdevolle en ondersteunende omgeving ben
Happy,I'm so lucky to be surrounded by people who care about me.,"My Diary,Arcade",I am so lucky to be surrounded by people who care about me,J'ai tellement de chance d'être entourée de personnes qui se soucient de moi,Tengo mucha suerte de estar rodeada de personas que se preocupan por mí.,Ik heb zoveel geluk dat ik omringd word door mensen die om mij geven
Happy,I feel truly special today.,"My Diary,Arcade",I feel truly special today,Je me sens vraiment spécial aujourd'hui,Me siento realmente especial hoy,Ik voel me vandaag echt bijzonder
Happy,I feel so happy and content.,"My Diary,Arcade",I feel so happy and content,Je me sens si heureux et satisfait,Me siento tan feliz y contenta,Ik voel me zo gelukkig en tevreden
Happy,I feel so lighthearted and at peace.,"My Diary,Arcade",I feel so lighthearted and at peace,Je me sens si léger et en paix,Me siento tan alegre y en paz.,Ik voel me zo opgewekt en vredig
Happy,I feel surrounded by positivity and joy.,"My Diary,Arcade",I feel surrounded by positivity and joy,Je me sens entouré de positivité et de joie,Me siento rodeado de positividad y alegría.,Ik voel me omringd door positiviteit en vreugde
Happy,I feel truly blessed to have such amazing people around me.,"My Diary,Arcade",I feel truly blessed to have such amazing people around me,Je me sens vraiment béni d'avoir des gens aussi incroyables autour de moi,Me siento verdaderamente bendecida de tener gente tan increíble a mi alrededor.,Ik voel me echt gezegend dat ik zulke geweldige mensen om me heen heb
Happy,I feel like I'm in the right place.,"My Diary,Arcade",I feel like I am in the right place,Je sens que je suis au bon endroit,Siento que estoy en el lugar correcto,Ik heb het gevoel dat ik op de juiste plek ben
Happy,I feel a deep connection to the people I care about.,"My Diary,Arcade",I feel a deep connection to the people I care about,Je ressens un lien profond avec les personnes qui me sont chères,Siento una profunda conexión con las personas que me importan.,Ik voel een diepe verbondenheid met de mensen die mij dierbaar zijn
Excited,I can't wait for tomorrow!,"My Diary,Arcade",I can't wait for tomorrow,J'ai hâte d'être demain,No puedo esperar a mañana,Ik kan niet wachten tot morgen
Excited,This is going to be amazing!,"My Diary,Arcade",This is going to be amazing,Ça va être incroyable,Esto va a ser increíble,Dit gaat geweldig worden
Excited,I’m looking forward to the weekend!,"My Diary,Arcade",I’m looking forward to the weekend,J’attends le week-end avec impatience,Estoy deseando que llegue el fin de semana,Ik kijk uit naar het weekend
Excited,I’m pumped for this event!,"My Diary,Arcade",I’m pumped for this event,Je suis excité pour cet événement,Estoy entusiasmado por este evento.,Ik ben enthousiast over dit evenement
Excited,I can’t wait to see what happens next!,"My Diary,Arcade",I cannot wait to see what happens next,J'ai hâte de voir ce qui va se passer ensuite,No puedo esperar a ver qué pasa después.,Ik kan niet wachten om te zien wat er nu gaat gebeuren
Excited,I feel like a kid on Christmas Eve!,"My Diary,Arcade",I feel like a kid on Christmas Eve,Je me sens comme un enfant la veille de Noël,Me siento como un niño en Nochebuena.,Ik voel me als een kind op kerstavond
Excited,I’m fired up about this!,"My Diary,Arcade",I’m fired up about this,Je suis enthousiasmé par ça,Estoy entusiasmado por esto,Ik ben hier enthousiast over
Excited,I’m counting down the days!,"My Diary,Arcade",I’m counting down the days,Je compte les jours,Estoy contando los días,Ik tel de dagen af
Excited,I feel like I’m about to burst with excitement!,"My Diary,Arcade",I feel like I’m about to burst with excitement,J'ai l'impression que je suis sur le point d'exploser d'excitation,Me siento como si estuviera a punto de estallar de emoción.,Ik heb het gevoel dat ik op het punt sta te barsten van opwinding
Excited,This is going to be so much fun!,"My Diary,Arcade",This is going to be so much fun,Cela va être tellement amusant,Esto va a ser muy divertido,Dit gaat zo leuk worden
Excited,I’m beyond excited about this!,"My Diary,Arcade",I’m beyond excited about this,Je suis plus qu’excité à ce sujet,Estoy más que entusiasmado por esto,Ik ben hier enorm enthousiast over
Excited,This is going to be epic!,"My Diary,Arcade",This is going to be epic,Ça va être épique,Esto va a ser épico,Dit gaat episch worden
Excited,I can hardly wait for this!,"My Diary,Arcade",I can hardly wait for this,J'ai hâte d'y être,Apenas puedo esperar por esto,Ik kan hier niet op wachten
Excited,I’m jumping out of my skin with excitement!,"My Diary,Arcade",I’m jumping out of my skin with excitement,Je saute hors de ma peau d’excitation,Estoy saltando de mi piel de emoción.,Ik spring uit mijn vel van opwinding
Excited,This is going to be unforgettable!,"My Diary,Arcade",This is going to be unforgettable,Cela va être inoubliable,Esto va a ser inolvidable,Dit gaat onvergetelijk worden
Excited,I can’t stop thinking about it!,"My Diary,Arcade",I cannot stop thinking about it,Je ne peux pas arrêter d'y penser,No puedo dejar de pensar en ello,Ik kan er niet mee stoppen er aan te denken
Excited,I feel the excitement in my bones!,"My Diary,Arcade",I feel the excitement in my bones,Je sens l'excitation dans mes os,Siento la emoción en mis huesos.,Ik voel de opwinding in mijn botten
Excited,This is going to be mind-blowing!,"My Diary,Arcade",This is going to be mind-blowing,Cela va être époustouflant,Esto va a ser alucinante.,Dit gaat verbijsterend zijn
Excited,I can’t wait to dive into this!,"My Diary,Arcade",I cannot wait to dive into this,J'ai hâte de me lancer dans ça,No puedo esperar para sumergirme en esto.,Ik kan niet wachten om hierin te duiken
Excited,This is just the beginning of something amazing!,"My Diary,Arcade",This is just the beginning of something amazing,Ce n'est que le début de quelque chose d'incroyable,Esto es solo el comienzo de algo increíble.,Dit is nog maar het begin van iets geweldigs
Excited,I am feeling crazy,"My Diary,Arcade",I am feeling crazy,Je me sens fou,Me siento loco,Ik voel me gek
Excited,I feel excited.,"My Diary,Arcade",I feel excited,Je me sens excité,Me siento emocionado,Ik voel me opgewonden
Excited,I am very excited for that.,"My Diary,Arcade",I am very excited for that,Je suis très excité pour ça,Estoy muy emocionado por eso,Ik ben daar erg enthousiast over
Excited,My excitement goes on top. ,"My Diary,Arcade",My excitement goes on top ,Mon excitation monte à son comble,Mi emoción va al máximo,Mijn opwinding stijgt tot het uiterste
Excited,I’m thrilled about what’s coming next!  ,"My Diary,Arcade",I’m thrilled about what’s coming next  ,Je suis ravi de ce qui va suivre,Estoy entusiasmado por lo que viene a continuación.,Ik ben enthousiast over wat er hierna gaat komen
Excited,This is going to be a blast!  ,"My Diary,Arcade",This is going to be a blast  ,Ça va être génial,Esto va a ser una explosión,Dit gaat een knal worden
Excited,I’m so stoked for this!  ,"My Diary,Arcade",I’m so stoked for this  ,Je suis tellement excité par ça,Estoy muy emocionado por esto,Ik ben hier zo enthousiast over
Excited,I can feel the anticipation building!  ,"My Diary,Arcade",I can feel the anticipation building  ,Je peux sentir l'anticipation grandir,Puedo sentir la anticipación creciendo,Ik voel de spanning toenemen
Excited,I’m on the edge of my seat waiting for this!  ,"My Diary,Arcade",I’m on the edge of my seat waiting for this  ,Je suis sur le bord de mon siège en attendant ça,Estoy al borde de mi asiento esperando esto,Ik zit op het puntje van mijn stoel te wachten op dit
Excited,This is going to be the highlight of my week!  ,"My Diary,Arcade",This is going to be the highlight of my week  ,Cela va être le point culminant de ma semaine,Este será el momento más destacado de mi semana.,Dit wordt het hoogtepunt van mijn week
Excited,I’m ready for something incredible!  ,"My Diary,Arcade",I’m ready for something incredible  ,Je suis prêt pour quelque chose d’incroyable,Estoy listo para algo increíble,Ik ben klaar voor iets ongelooflijks
Excited,I’m buzzing with anticipation!  ,"My Diary,Arcade",I’m buzzing with anticipation  ,Je suis en effervescence avec impatience,Estoy zumbando de anticipación,Ik bruis van verwachting
Excited,I can’t stop thinking about how amazing this will be!  ,"My Diary,Arcade",I cannot stop thinking about how amazing this will be  ,Je ne peux pas arrêter de penser à quel point ce sera incroyable,No puedo dejar de pensar en lo increíble que será esto.,Ik kan niet stoppen met denken aan hoe geweldig dit zal zijn
Excited,My excitement is through the roof!  ,"My Diary,Arcade",My excitement is through the roof  ,Mon excitation est à son comble,Mi emoción está por las nubes,Mijn opwinding is door het dak gegaan
Excited,This is going to be a game-changer!  ,"My Diary,Arcade",This is going to be a game-changer  ,Cela va changer la donne,Esto va a cambiar las reglas del juego,Dit gaat een game-changer worden
Excited,I feel like something extraordinary is about to happen!  ,"My Diary,Arcade",I feel like something extraordinary is about to happen  ,J'ai l'impression que quelque chose d'extraordinaire est sur le point de se produire,Siento que algo extraordinario está por suceder.,Ik heb het gevoel dat er iets bijzonders gaat gebeuren
Excited,I’m gearing up for an amazing experience!  ,"My Diary,Arcade",I’m gearing up for an amazing experience  ,Je me prépare à vivre une expérience incroyable,Me estoy preparando para una experiencia increíble,Ik bereid me voor op een geweldige ervaring
Excited,My heart is racing just thinking about it!  ,"My Diary,Arcade",My heart is racing just thinking about it  ,Mon cœur s'emballe rien qu'en y pensant,Mi corazón se acelera solo de pensarlo.,Mijn hart bonst als ik er alleen maar aan denk
Excited,I’ve got butterflies in my stomach from excitement!  ,"My Diary,Arcade",I have got butterflies in my stomach from excitement  ,J'ai des papillons dans l'estomac à cause de l'excitation,Tengo mariposas en el estómago de la emoción.,Ik krijg vlinders in mijn buik van opwinding
Excited,This is going to blow my mind!  ,"My Diary,Arcade",This is going to blow my mind  ,Cela va me faire perdre la tête,Esto me dejará boquiabierto,Dit gaat mijn verstand doen ontploffen
Excited,I’m so jazzed about this opportunity!  ,"My Diary,Arcade",I’m so jazzed about this opportunity  ,Je suis tellement enthousiaste à propos de cette opportunité,Estoy muy entusiasmado con esta oportunidad.,Ik ben zo enthousiast over deze kans
Excited,I can already tell this will be unforgettable!  ,"My Diary,Arcade",I can already tell this will be unforgettable  ,Je peux déjà dire que ce sera inoubliable,Ya puedo decir que esto será inolvidable.,Ik kan nu al zeggen dat dit onvergetelijk zal zijn
Excited,I’m counting the hours until it starts!  ,"My Diary,Arcade",I’m counting the hours until it starts  ,Je compte les heures jusqu'à ce que ça commence,Estoy contando las horas hasta que empiece,Ik tel de uren tot het begint
Excited,This feels like a dream come true!  ,"My Diary,Arcade",This feels like a dream come true  ,Cela ressemble à un rêve devenu réalité,Esto parece un sueño hecho realidad.,Dit voelt als een droom die uitkomt
Excited,I’m hyped for what’s ahead!  ,"My Diary,Arcade",I’m hyped for what’s ahead  ,Je suis excité par ce qui nous attend,Estoy entusiasmado por lo que está por venir,Ik ben enthousiast over wat komen gaat
Excited,I’m so ready to make amazing memories!  ,"My Diary,Arcade",I’m so ready to make amazing memories  ,Je suis tellement prête à créer des souvenirs incroyables,Estoy tan lista para crear recuerdos increíbles.,Ik ben er helemaal klaar voor om geweldige herinneringen te maken
