tag,patterns,response,patterns_cleaned,patterns_french,patterns_spanish,patterns_dutch
Happy,I’m embracing all the good things in life!  ,"My Diary,Arcade",I’m embracing all the good things in life  ,J'apprécie toutes les bonnes choses de la vie,Estoy abrazando todas las cosas buenas de la vida.,Ik omarm alle goede dingen in het leven
Happy,The world feels brighter and more beautiful today.  ,"My Diary,Arcade",The world feels brighter and more beautiful today  ,Le monde semble plus lumineux et plus beau aujourd'hui,El mundo se siente más brillante y más hermoso hoy.,De wereld voelt vandaag helderder en mooier aan
Happy,I’m absolutely loving life right now!  ,"My Diary,Arcade",I’m absolutely loving life right now  ,J'adore vraiment la vie en ce moment,Estoy disfrutando muchísimo la vida ahora mismo,Ik geniet momenteel enorm van het leven
Happy,This is a day I’ll never forget—it’s so wonderful!  ,"My Diary,Arcade",This is a day I will never forget—it’s so wonderful  ,"C'est un jour que je n'oublierai jamais, c'est tellement merveilleux",Este es un día que nunca olvidaré. Es tan maravilloso.,"Dit is een dag die ik nooit zal vergeten, het is zo geweldig"
Happy,I feel alive and unstoppable!  ,"My Diary,Arcade",I feel alive and unstoppable  ,Je me sens vivant et inarrêtable,Me siento viva e imparable.,Ik voel me levend en onstuitbaar
Happy,Everything feels so right at this moment.  ,"My Diary,Arcade",Everything feels so right at this moment  ,Tout semble si bien en ce moment,Todo se siente tan bien en este momento.,Alles voelt op dit moment zo goed
Happy,I’m shining like the sun with happiness!  ,"My Diary,Arcade",I’m shining like the sun with happiness  ,Je brille comme le soleil de bonheur,Estoy brillando como el sol con felicidad.,Ik straal als de zon van geluk
Happy,My heart feels so light and free!  ,"My Diary,Arcade",My heart feels so light and free  ,Mon cœur se sent si léger et libre,Mi corazón se siente tan ligero y libre.,Mijn hart voelt zo licht en vrij
Happy,I’m savoring every second of this day.  ,"My Diary,Arcade",I’m savoring every second of this day  ,Je savoure chaque seconde de cette journée,Estoy saboreando cada segundo de este día.,Ik geniet van elke seconde van deze dag
Happy,This happiness is so contagious,"My Diary,Arcade",This happiness is so contagious,Ce bonheur est tellement contagieux,Esta felicidad es tan contagiosa.,Dit geluk is zo besmettelijk
Happy,I’m in awe of how perfect this moment feels.  ,"My Diary,Arcade",I’m in awe of how perfect this moment feels  ,Je suis impressionné par la perfection de ce moment,Estoy asombrado de lo perfecto que se siente este momento.,Ik ben onder de indruk van hoe perfect dit moment voelt
Happy,Today feels like the start of something incredible.  ,"My Diary,Arcade",Today feels like the start of something incredible  ,"Aujourd'hui, cela ressemble au début de quelque chose d'incroyable",Hoy se siente como el comienzo de algo increíble.,Vandaag voelt als het begin van iets ongelooflijks
Happy,I’m soaking up all the positivity around me.  ,"My Diary,Arcade",I’m soaking up all the positivity around me  ,J'absorbe toute la positivité qui m'entoure,Estoy absorbiendo toda la positividad que me rodea.,Ik neem alle positiviteit om mij heen in mij op
Happy,This day is a beautiful chapter in my life! ,"My Diary,Arcade",This day is a beautiful chapter in my life ,Ce jour est un beau chapitre de ma vie,Este día es un hermoso capítulo en mi vida.,Deze dag is een mooi hoofdstuk in mijn leven
Happy,I've got so much energy!,"My Diary,Arcade",I've got so much energy,J'ai tellement d'énergie,Tengo tanta energía,Ik heb zoveel energie
Happy,I'm in such a great mood!,"My Diary,Arcade",I am in such a great mood,Je suis de très bonne humeur,Estoy de muy buen humor,Ik ben in zo'n goed humeur
Happy,I'm so grateful for today.,"My Diary,Arcade",I am so grateful for today,Je suis tellement reconnaissant pour aujourd'hui,Estoy muy agradecido por hoy,Ik ben zo dankbaar voor vandaag
Happy,I'm enjoying every moment!,"My Diary,Arcade",I am enjoying every moment,Je profite de chaque instant,Estoy disfrutando cada momento,Ik geniet van elk moment
Happy,I can't contain my joy!,"My Diary,Arcade",I can't contain my joy,Je ne peux pas contenir ma joie,No puedo contener mi alegría,Ik kan mijn vreugde niet bedwingen
Happy,I'm full of positive energy!,"My Diary,Arcade",I am full of positive energy,Je suis plein d'énergie positive,Estoy lleno de energía positiva,Ik zit vol positieve energie
Happy,I'm so happy and content with life!,"My Diary,Arcade",I am so happy and content with life,Je suis tellement heureuse et satisfaite de la vie,Estoy tan feliz y contento con la vida.,Ik ben zo blij en tevreden met het leven
Happy,I've never been this happy before!,"My Diary,Arcade",I've never been this happy before,Je n'ai jamais été aussi heureux auparavant,Nunca he estado tan feliz antes,Ik ben nog nooit zo gelukkig geweest
Happy,My heart is full of happiness.,"My Diary,Arcade",My heart is full of happiness,Mon cœur est plein de bonheur,Mi corazón está lleno de felicidad.,Mijn hart is vol geluk
Happy,It's such a warm feeling to be cared for.,"My Diary,Arcade",It's such a warm feeling to be cared for,C'est un sentiment si chaleureux d'être pris en charge,Es una sensación muy cálida sentirse cuidado.,Het is zo'n warm gevoel om verzorgd te worden
Happy,I feel like the luckiest person alive.,"My Diary,Arcade",I feel like the luckiest person alive,Je me sens comme la personne la plus chanceuse du monde,Me siento la persona más afortunada del mundo,Ik voel me de gelukkigste persoon ter wereld
Happy,I feel cherished by my friends.,"My Diary,Arcade",I feel cherished by my friends,Je me sens chéri par mes amis,Me siento querido por mis amigos.,Ik voel me geliefd door mijn vrienden
Happy,I feel like everyone cares about me.,"My Diary,Arcade",I feel like everyone cares about me,J'ai l'impression que tout le monde se soucie de moi,Siento que todos se preocupan por mí.,Ik heb het gevoel dat iedereen om mij geeft
Happy,I'm blessed to have such supportive people around me.,"My Diary,Arcade",I am blessed to have such supportive people around me,Je suis bénie d'avoir des gens qui me soutiennent autant autour de moi,Tengo la suerte de tener gente tan solidaria a mi alrededor.,Ik ben gezegend dat ik zulke behulpzame mensen om mij heen heb
Happy,I feel so connected with those around me.,"My Diary,Arcade",I feel so connected with those around me,Je me sens tellement connecté avec ceux qui m'entourent,Me siento tan conectado con los que me rodean.,Ik voel me zo verbonden met de mensen om mij heen
Happy,I feel like I belong.,"My Diary,Arcade",I feel like I belong,Je me sens appartenir,Me siento como si perteneciera,Ik voel me alsof ik erbij hoor
Happy,I'm surrounded by kindness today.,"My Diary,Arcade",I am surrounded by kindness today,Je suis entouré de gentillesse aujourd'hui,Estoy rodeado de bondad hoy,Ik word vandaag omringd door vriendelijkheid
Happy,I feel so appreciated by those around me.,"My Diary,Arcade",I feel so appreciated by those around me,Je me sens tellement apprécié par ceux qui m'entourent,Me siento muy apreciado por quienes me rodean.,Ik voel me zo gewaardeerd door de mensen om mij heen
Happy,I'm surrounded by people who care about me.,"My Diary,Arcade",I am surrounded by people who care about me,Je suis entouré de gens qui se soucient de moi,Estoy rodeado de gente que se preocupa por mí.,Ik word omringd door mensen die om mij geven
Happy,I'm so lucky to have such amazing people in my life.,"My Diary,Arcade",I am so lucky to have such amazing people in my life,J'ai tellement de chance d'avoir des gens aussi incroyables dans ma vie,Tengo mucha suerte de tener gente tan maravillosa en mi vida.,Ik ben zo gelukkig dat ik zulke geweldige mensen in mijn leven heb
Happy,I feel supported by everyone around me.,"My Diary,Arcade",I feel supported by everyone around me,Je me sens soutenu par tout le monde autour de moi,Me siento apoyado por todos los que me rodean.,Ik voel me gesteund door iedereen om mij heen
Happy,I feel deeply appreciated today.,"My Diary,Arcade",I feel deeply appreciated today,Je me sens profondément apprécié aujourd'hui,Me siento profundamente apreciado hoy,Ik voel mij vandaag enorm gewaardeerd
Happy,I feel safe and cared for.,"My Diary,Arcade",I feel safe and cared for,Je me sens en sécurité et pris en charge,Me siento seguro y cuidado.,Ik voel mij veilig en verzorgd
Happy,I feel truly special to be cared for.,"My Diary,Arcade",I feel truly special to be cared for,Je me sens vraiment spéciale d'être prise en charge,Me siento realmente especial por ser atendida,Ik voel mij echt bijzonder dat er voor mij gezorgd wordt
Happy,I feel deeply connected to the people around me.,"My Diary,Arcade",I feel deeply connected to the people around me,Je me sens profondément connecté aux gens qui m'entourent,Me siento profundamente conectado con las personas que me rodean.,Ik voel mij diep verbonden met de mensen om mij heen
Happy,I feel like I'm part of something bigger.,"My Diary,Arcade",I feel like I am part of something bigger,J'ai l'impression de faire partie de quelque chose de plus grand,Me siento como si fuera parte de algo más grande,Ik heb het gevoel dat ik deel uitmaak van iets groters
Happy,I'm so grateful for the support and care I receive.,"My Diary,Arcade",I am so grateful for the support and care I receive,Je suis très reconnaissant pour le soutien et les soins que je reçois,Estoy muy agradecida por el apoyo y la atención que recibo.,Ik ben zo dankbaar voor de steun en zorg die ik krijg
Happy,I feel a sense of belonging in my community.,"My Diary,Arcade",I feel a sense of belonging in my community,Je ressens un sentiment d’appartenance à ma communauté,Siento un sentido de pertenencia en mi comunidad.,Ik voel mij thuis in mijn gemeenschap
Happy,I feel so cared for by the people around me.,"My Diary,Arcade",I feel so cared for by the people around me,Je me sens tellement pris en charge par les gens qui m'entourent,Me siento muy cuidado por la gente que me rodea.,Ik voel me zo verzorgd door de mensen om mij heen
Happy,I'm lucky to have people who genuinely care about me.,"My Diary,Arcade",I am lucky to have people who genuinely care about me,J'ai la chance d'avoir des gens qui se soucient vraiment de moi,Tengo suerte de tener gente que realmente se preocupa por mí.,Ik heb geluk dat ik mensen heb die echt om mij geven
Happy,I feel blessed to have people who genuinely care for me.,"My Diary,Arcade",I feel blessed to have people who genuinely care for me,Je me sens béni d'avoir des gens qui se soucient vraiment de moi,Me siento bendecida de tener personas que realmente se preocupan por mí.,Ik voel me gezegend dat ik mensen heb die echt om mij geven
Happy,I feel grateful for the kindness of others.,"My Diary,Arcade",I feel grateful for the kindness of others,Je suis reconnaissant pour la gentillesse des autres,Me siento agradecido por la bondad de los demás.,Ik ben dankbaar voor de vriendelijkheid van anderen
Happy,I feel safe and supported by the people in my life.,"My Diary,Arcade",I feel safe and supported by the people in my life,Je me sens en sécurité et soutenu par les gens de ma vie,Me siento seguro y apoyado por las personas en mi vida.,Ik voel me veilig en gesteund door de mensen in mijn leven
Happy,I feel like I matter to the people around me.,"My Diary,Arcade",I feel like I matter to the people around me,J'ai l'impression d'être important pour les gens qui m'entourent,Siento que soy importante para las personas que me rodean.,Ik heb het gevoel dat ik ertoe doe voor de mensen om mij heen
Happy,I feel valued and appreciated by the people I care about.,"My Diary,Arcade",I feel valued and appreciated by the people I care about,Je me sens valorisé et apprécié par les personnes qui me sont chères.,Me siento valorado y apreciado por las personas que me importan.,Ik voel mij gewaardeerd en gewaardeerd door de mensen om wie ik geef
Happy,I feel like I'm in a loving and supportive environment.,"My Diary,Arcade",I feel like I am in a loving and supportive environment,Je me sens dans un environnement aimant et solidaire,Me siento como si estuviera en un ambiente amoroso y de apoyo.,Ik heb het gevoel dat ik in een liefdevolle en ondersteunende omgeving ben
Happy,I'm so lucky to be surrounded by people who care about me.,"My Diary,Arcade",I am so lucky to be surrounded by people who care about me,J'ai tellement de chance d'être entourée de personnes qui se soucient de moi,Tengo mucha suerte de estar rodeada de personas que se preocupan por mí.,Ik heb zoveel geluk dat ik omringd word door mensen die om mij geven
Happy,I feel truly special today.,"My Diary,Arcade",I feel truly special today,Je me sens vraiment spécial aujourd'hui,Me siento realmente especial hoy,Ik voel me vandaag echt bijzonder
Happy,I feel so happy and content.,"My Diary,Arcade",I feel so happy and content,Je me sens si heureux et satisfait,Me siento tan feliz y contenta,Ik voel me zo gelukkig en tevreden
Happy,I feel so lighthearted and at peace.,"My Diary,Arcade",I feel so lighthearted and at peace,Je me sens si léger et en paix,Me siento tan alegre y en paz.,Ik voel me zo opgewekt en vredig
Happy,I feel surrounded by positivity and joy.,"My Diary,Arcade",I feel surrounded by positivity and joy,Je me sens entouré de positivité et de joie,Me siento rodeado de positividad y alegría.,Ik voel me omringd door positiviteit en vreugde
Happy,I feel truly blessed to have such amazing people around me.,"My Diary,Arcade",I feel truly blessed to have such amazing people around me,Je me sens vraiment béni d'avoir des gens aussi incroyables autour de moi,Me siento verdaderamente bendecida de tener gente tan increíble a mi alrededor.,Ik voel me echt gezegend dat ik zulke geweldige mensen om me heen heb
Happy,I feel like I'm in the right place.,"My Diary,Arcade",I feel like I am in the right place,Je sens que je suis au bon endroit,Siento que estoy en el lugar correcto,Ik heb het gevoel dat ik op de juiste plek ben
Happy,I feel a deep connection to the people I care about.,"My Diary,Arcade",I feel a deep connection to the people I care about,Je ressens un lien profond avec les personnes qui me sont chères,Siento una profunda conexión con las personas que me importan.,Ik voel een diepe verbondenheid met de mensen die mij dierbaar zijn
Happy,I feel like I belong here.,"My Diary,Arcade",I feel like I belong here,Je me sens comme si j'appartenais à cet endroit,Me siento como si perteneciera aquí,Ik voel me hier thuis
Happy,I feel so cherished and valued.,"My Diary,Arcade",I feel so cherished and valued,Je me sens tellement chérie et valorisée,Me siento tan querida y valorada,Ik voel me zo gekoesterd en gewaardeerd
Happy,I feel so content and at peace.,"My Diary,Arcade",I feel so content and at peace,Je me sens tellement content et en paix,Me siento tan contento y en paz.,Ik voel me zo tevreden en in vrede
Happy,I feel so joyful today!,"My Diary,Arcade",I feel so joyful today,Je me sens si joyeux aujourd'hui,Me siento tan feliz hoy,Ik voel me vandaag zo vrolijk
Happy,Today is a wonderful day!,"My Diary,Arcade",Today is a wonderful day,Aujourd'hui est un jour merveilleux,Hoy es un día maravilloso,Vandaag is een prachtige dag
Happy,I can’t wipe this smile off my face.,"My Diary,Arcade",I cannot wipe this smile off my face,Je ne peux pas effacer ce sourire de mon visage,No puedo borrar esta sonrisa de mi cara,Ik kan deze glimlach niet van mijn gezicht vegen
Happy,Everything is just so perfect!,"My Diary,Arcade",Everything is just so perfect,Tout est tellement parfait,Todo es tan perfecto,Alles is gewoon zo perfect
Happy,I feel so light and carefree.,"My Diary,Arcade",I feel so light and carefree,Je me sens si léger et insouciant,Me siento tan ligera y despreocupada,Ik voel me zo licht en zorgeloos
Happy,My heart is just full of happiness!,"My Diary,Arcade",My heart is just full of happiness,Mon cœur est tout simplement rempli de bonheur,Mi corazón está lleno de felicidad.,Mijn hart is gewoon vol geluk
Happy,I’m floating on cloud nine today!,"My Diary,Arcade",I’m floating on cloud nine today,Je flotte sur un nuage aujourd'hui,Hoy estoy flotando en una nube,Ik zweef vandaag op een wolkje negen
Happy,I feel completely free and alive!,"My Diary,Arcade",I feel completely free and alive,Je me sens complètement libre et vivant,Me siento completamente libre y viva.,Ik voel me volkomen vrij en levend
Happy,Today feels like a blessing.,"My Diary,Arcade",Today feels like a blessing,"Aujourd'hui, cela ressemble à une bénédiction",Hoy se siente como una bendición.,Vandaag voelt als een zegen
Happy,I feel so lucky and blessed today.,"My Diary,Arcade",I feel so lucky and blessed today,Je me sens tellement chanceux et béni aujourd'hui,Me siento muy afortunado y bendecido hoy.,Ik voel me vandaag zo gelukkig en gezegend
Happy,I feel so good inside and out.,"My Diary,Arcade",I feel so good inside and out,Je me sens si bien à l'intérieur comme à l'extérieur,Me siento tan bien por dentro y por fuera.,Ik voel me zo goed van binnen en van buiten
Happy,I’m dancing with joy today!,"My Diary,Arcade",I’m dancing with joy today,Je danse de joie aujourd'hui,Hoy estoy bailando de alegría,Ik dans vandaag van vreugde
Happy,I feel on top of the world.,"My Diary,Arcade",I feel on top of the world,Je me sens au sommet du monde,Me siento en la cima del mundo,Ik voel me op de top van de wereld
Happy,This day is simply magical!,"My Diary,Arcade",This day is simply magical,Cette journée est tout simplement magique,Este día es simplemente mágico.,Deze dag is gewoonweg magisch
Happy,I feel so alive and vibrant.,"My Diary,Arcade",I feel so alive and vibrant,Je me sens tellement vivant et dynamique,Me siento tan viva y vibrante.,Ik voel me zo levend en levendig
Happy,My spirits are so high today!,"My Diary,Arcade",My spirits are so high today,Mon moral est si bon aujourd'hui,Estoy muy animado hoy,Mijn humeur is vandaag zo goed
Happy,I’m glowing with happiness.,"My Diary,Arcade",I’m glowing with happiness,Je rayonne de bonheur,Estoy radiante de felicidad,Ik straal van geluk
Happy,I feel so peaceful and content.,"My Diary,Arcade",I feel so peaceful and content,Je me sens si paisible et satisfait,Me siento tan tranquilo y contento,Ik voel me zo vredig en tevreden
Happy,I’m glowing with positivity.,"My Diary,Arcade",I’m glowing with positivity,Je rayonne de positivité,Estoy radiante de positividad,Ik straal van positiviteit
Happy,Everything just seems to be going my way.,"My Diary,Arcade",Everything just seems to be going my way,Tout semble aller comme je le souhaite,Todo parece ir como quiero,Alles lijkt gewoon mijn kant op te gaan
Happy,I feel like I’m walking on sunshine.,"My Diary,Arcade",I feel like I’m walking on sunshine,J'ai l'impression de marcher sur le soleil,Me siento como si estuviera caminando sobre el sol,Ik heb het gevoel dat ik op zonneschijn loop
Happy,This is the best feeling ever.,"My Diary,Arcade",This is the best feeling ever,C'est le meilleur sentiment qui soit,Esta es la mejor sensación que jamás haya existido,Dit is het beste gevoel ooit
Happy,I feel so light-hearted and free.,"My Diary,Arcade",I feel so light-hearted and free,Je me sens si léger et libre,Me siento tan alegre y libre,Ik voel me zo licht en vrij
Happy,I’m radiating happiness today.,"My Diary,Arcade",I’m radiating happiness today,Je rayonne de bonheur aujourd'hui,Hoy estoy irradiando felicidad,Ik straal vandaag geluk uit
Happy,I feel so at peace with myself.,"My Diary,Arcade",I feel so at peace with myself,Je me sens tellement en paix avec moi-même,Me siento tan en paz conmigo mismo,Ik voel me zo in vrede met mezelf
Happy,I’m grateful for all the little things today.,"My Diary,Arcade",I’m grateful for all the little things today,Je suis reconnaissant pour toutes les petites choses aujourd’hui,Estoy agradecido por todas las pequeñas cosas hoy.,Ik ben dankbaar voor alle kleine dingen vandaag
Happy,I feel like I’m in a dream.,"My Diary,Arcade",I feel like I’m in a dream,J'ai l'impression d'être dans un rêve,Me siento como si estuviera en un sueño,Ik heb het gevoel dat ik in een droom zit
Happy,Everything is just so beautiful.,"My Diary,Arcade",Everything is just so beautiful,Tout est tellement beau,Todo es tan hermoso,Alles is gewoon zo mooi
Happy,I’m so happy with where I am in life.,"My Diary,Arcade",I’m so happy with where I am in life,Je suis tellement heureuse de là où je suis dans la vie,Estoy muy feliz con el lugar en el que me encuentro en la vida.,Ik ben zo blij met waar ik in het leven sta
Happy,I feel so lucky to be alive today.,"My Diary,Arcade",I feel so lucky to be alive today,Je me sens tellement chanceux d'être en vie aujourd'hui,Me siento muy afortunado de estar vivo hoy.,Ik voel me zo gelukkig dat ik vandaag leef
Happy,I feel like I’m living my best life.,"My Diary,Arcade",I feel like I’m living my best life,J’ai l’impression de vivre ma meilleure vie,Siento que estoy viviendo mi mejor vida.,Ik heb het gevoel dat ik het beste uit mijn leven haal
Happy,I’m full of optimism today.,"My Diary,Arcade",I’m full of optimism today,Je suis plein d’optimisme aujourd’hui,Estoy lleno de optimismo hoy,Ik ben vandaag vol optimisme
Happy,This day just keeps getting better.,"My Diary,Arcade",This day just keeps getting better,Cette journée ne cesse de s'améliorer,Este día cada vez mejora más,Deze dag wordt steeds beter
Happy,I’m feeling so fulfilled today.,"My Diary,Arcade",I’m feeling so fulfilled today,Je me sens tellement épanouie aujourd’hui,Me siento muy realizada hoy,Ik voel me vandaag zo vervuld
Happy,I feel so blessed to have such wonderful people in my life.,"My Diary,Arcade",I feel so blessed to have such wonderful people in my life,Je me sens tellement béni d'avoir des gens aussi merveilleux dans ma vie,Me siento tan bendecida de tener personas tan maravillosas en mi vida.,Ik voel me zo gezegend dat ik zulke geweldige mensen in mijn leven heb
Happy,I’m so happy with the way things are going.,"My Diary,Arcade",I’m so happy with the way things are going,Je suis tellement content de la façon dont les choses se passent,Estoy muy feliz con cómo van las cosas.,Ik ben zo blij met de manier waarop de dingen gaan
Happy,I feel like I’m on top of everything.,"My Diary,Arcade",I feel like I’m on top of everything,J'ai l'impression de tout maîtriser,Siento que estoy al tanto de todo,Ik heb het gevoel dat ik alles onder controle heb
Happy,I’m smiling from ear to ear.,"My Diary,Arcade",I’m smiling from ear to ear,Je souris jusqu'aux oreilles,Estoy sonriendo de oreja a oreja,Ik glimlach van oor tot oor
Happy,I feel so refreshed and recharged.,"My Diary,Arcade",I feel so refreshed and recharged,Je me sens tellement rafraîchie et rechargée,Me siento tan renovado y recargado.,Ik voel me zo verfrist en opgeladen
Happy,I’m embracing every moment today.,"My Diary,Arcade",I’m embracing every moment today,Je profite de chaque instant aujourd'hui,Estoy abrazando cada momento hoy,Ik omarm elk moment vandaag
Happy,I feel so at ease and content.,"My Diary,Arcade",I feel so at ease and content,Je me sens tellement à l'aise et satisfait,Me siento tan a gusto y contento,Ik voel me zo op mijn gemak en tevreden
Happy,I’m so grateful for today’s simple joys.,"My Diary,Arcade",I’m so grateful for today’s simple joys,Je suis tellement reconnaissant pour les joies simples d’aujourd’hui,Estoy muy agradecido por las simples alegrías de hoy.,Ik ben zo dankbaar voor de simpele vreugdes van vandaag
Happy,I feel so connected to the world around me.,"My Diary,Arcade",I feel so connected to the world around me,Je me sens tellement connecté au monde qui m'entoure,Me siento tan conectado con el mundo que me rodea.,Ik voel me zo verbonden met de wereld om mij heen
